date,dailySteps,season,month,day,double
4/6/2019,6464,spring,4,Saturday,
4/8/2019,5919,spring,4,Monday,TRUE
4/9/2019,5622,spring,4,Tuesday,TRUE
4/10/2019,6414,spring,4,Wednesday,
4/12/2019,8192,spring,4,Friday,
4/15/2019,6455,spring,4,Monday,
4/17/2019,6351,spring,4,Wednesday,TRUE
4/18/2019,5919,spring,4,Thursday,TRUE
4/19/2019,5785,spring,4,Friday,
4/23/2019,6330,spring,4,Tuesday,TRUE
4/24/2019,6191,spring,4,Wednesday,
4/26/2019,10927,spring,4,Friday,
4/30/2019,5554,spring,4,Tuesday,TRUE
5/1/2019,6106,spring,5,Wednesday,
5/4/2019,6594,spring,5,Saturday,
5/9/2019,8793,spring,5,Thursday,TRUE
5/10/2019,8799,spring,5,Friday,TRUE
5/11/2019,9256,spring,5,Saturday,
5/13/2019,8442,spring,5,Monday,TRUE
5/14/2019,7019,spring,5,Tuesday,TRUE
5/15/2019,7868,spring,5,Wednesday,TRUE
5/16/2019,7278,spring,5,Thursday,TRUE
5/17/2019,10025,spring,5,Friday,TRUE
5/18/2019,11080,spring,5,Saturday,TRUE
5/19/2019,6437,spring,5,Sunday,
5/22/2019,7389,spring,5,Wednesday,TRUE
5/23/2019,8473,spring,5,Thursday,TRUE
5/24/2019,8150,spring,5,Friday,TRUE
5/25/2019,8552,spring,5,Saturday,TRUE
5/26/2019,7019,spring,5,Sunday,
5/28/2019,7151,spring,5,Tuesday,TRUE
5/29/2019,6162,spring,5,Wednesday,TRUE
5/30/2019,9313,spring,5,Thursday,TRUE
5/31/2019,11168,spring,5,Friday,TRUE
6/1/2019,8022,summer,6,Saturday,TRUE
6/2/2019,9202,summer,6,Sunday,TRUE
6/3/2019,9536,summer,6,Monday,TRUE
6/4/2019,8479,summer,6,Tuesday,TRUE
6/5/2019,6206,summer,6,Wednesday,TRUE
6/6/2019,6980,summer,6,Thursday,
6/8/2019,9098,summer,6,Saturday,
6/10/2019,8520,summer,6,Monday,TRUE
6/11/2019,10463,summer,6,Tuesday,TRUE
6/12/2019,7206,summer,6,Wednesday,TRUE
6/13/2019,9244,summer,6,Thursday,TRUE
6/14/2019,9450,summer,6,Friday,
6/17/2019,6831,summer,6,Monday,TRUE
6/18/2019,8349,summer,6,Tuesday,TRUE
6/19/2019,6786,summer,6,Wednesday,TRUE
6/20/2019,6031,summer,6,Thursday,TRUE
6/21/2019,8853,summer,6,Friday,
6/25/2019,13228,summer,6,Tuesday,TRUE
6/26/2019,12390,summer,6,Wednesday,TRUE
6/27/2019,10963,summer,6,Thursday,TRUE
6/28/2019,8319,summer,6,Friday,TRUE
6/29/2019,17587,summer,6,Saturday,
7/1/2019,7359,summer,7,Monday,TRUE
7/2/2019,6907,summer,7,Tuesday,TRUE
7/3/2019,10466,summer,7,Wednesday,TRUE
7/4/2019,8466,summer,7,Thursday,
7/6/2019,10615,summer,7,Saturday,TRUE
7/7/2019,5870,summer,7,Sunday,TRUE
7/8/2019,8901,summer,7,Monday,TRUE
7/9/2019,7556,summer,7,Tuesday,TRUE
7/10/2019,8826,summer,7,Wednesday,
7/12/2019,7770,summer,7,Friday,TRUE
7/13/2019,9557,summer,7,Saturday,TRUE
7/14/2019,6625,summer,7,Sunday,TRUE
7/15/2019,8467,summer,7,Monday,TRUE
7/16/2019,10162,summer,7,Tuesday,TRUE
7/17/2019,14621,summer,7,Wednesday,TRUE
7/18/2019,12405,summer,7,Thursday,TRUE
7/19/2019,18346,summer,7,Friday,TRUE
7/20/2019,12624,summer,7,Saturday,
7/22/2019,7226,summer,7,Monday,
7/24/2019,14796,summer,7,Wednesday,TRUE
7/25/2019,9142,summer,7,Thursday,TRUE
7/26/2019,9934,summer,7,Friday,TRUE
7/27/2019,6480,summer,7,Saturday,
7/30/2019,7177,summer,7,Tuesday,
8/1/2019,9528,summer,8,Thursday,TRUE
8/2/2019,7405,summer,8,Friday,TRUE
8/3/2019,8088,summer,8,Saturday,TRUE
8/4/2019,8140,summer,8,Sunday,
8/6/2019,8358,summer,8,Tuesday,TRUE
8/7/2019,8308,summer,8,Wednesday,TRUE
8/8/2019,8761,summer,8,Thursday,TRUE
8/9/2019,7098,summer,8,Friday,TRUE
8/10/2019,6142,summer,8,Saturday,TRUE
8/11/2019,8463,summer,8,Sunday,TRUE
8/12/2019,8361,summer,8,Monday,TRUE
8/13/2019,8167,summer,8,Tuesday,TRUE
8/14/2019,6242,summer,8,Wednesday,TRUE
8/15/2019,11942,summer,8,Thursday,TRUE
8/16/2019,7790,summer,8,Friday,TRUE
8/17/2019,7079,summer,8,Saturday,TRUE
8/18/2019,8976,summer,8,Sunday,
8/21/2019,15359,summer,8,Wednesday,TRUE
