Day,DailySteps
7/12/2018,6192
7/13/2018,148
7/14/2018,3238
7/15/2018,3017
7/16/2018,2199
7/17/2018,2846
7/18/2018,1835
7/19/2018,4510
7/20/2018,2874
7/21/2018,4261
7/22/2018,2805
7/23/2018,1482
7/24/2018,3107
7/25/2018,6645
7/26/2018,5678
7/27/2018,1670
7/28/2018,924
7/29/2018,6503
7/30/2018,1955
7/31/2018,2073
8/1/2018,6176
8/2/2018,3228
8/3/2018,12109
8/4/2018,7279
8/5/2018,3267
8/6/2018,1861
8/7/2018,4506
8/8/2018,2168
8/9/2018,9659
8/10/2018,5616
8/11/2018,2253
8/12/2018,2493
8/13/2018,2695
8/14/2018,2512
8/15/2018,5956
8/16/2018,6914
8/17/2018,3273
8/18/2018,7091
8/19/2018,1719
8/20/2018,4299
8/21/2018,4645
8/22/2018,4810
8/23/2018,3981
8/24/2018,3301
8/25/2018,2442
8/26/2018,993
8/27/2018,4067
8/28/2018,4769
8/29/2018,1297
8/30/2018,8009
8/31/2018,5557
9/1/2018,5066
9/2/2018,1497
9/3/2018,4507
9/4/2018,3726
9/5/2018,5515
9/6/2018,5634
9/7/2018,5063
9/8/2018,11402
9/9/2018,1337
9/10/2018,7614
9/11/2018,959
9/12/2018,7449
9/13/2018,3918
9/14/2018,4224
9/15/2018,2717
9/16/2018,4375
9/17/2018,6501
9/18/2018,5082
9/19/2018,4858
9/20/2018,4369
9/21/2018,4965
9/22/2018,5454
9/23/2018,590
9/24/2018,1288
9/25/2018,7038
9/26/2018,4282
9/27/2018,5560
9/28/2018,5745
9/29/2018,1212
9/30/2018,881
10/1/2018,5722
10/2/2018,6057
10/3/2018,164
10/4/2018,3456
10/5/2018,998
10/6/2018,5563
10/7/2018,727
10/9/2018,3298
10/11/2018,20376
10/12/2018,1041
10/13/2018,1171
10/14/2018,1704
10/16/2018,13092
10/19/2018,17245
10/20/2018,976
10/27/2018,39089
10/28/2018,155
10/29/2018,2667
10/30/2018,10328
11/2/2018,16165
11/3/2018,193
11/9/2018,24521
11/12/2018,9827
11/16/2018,29845
11/17/2018,2751
11/18/2018,339
11/19/2018,5778
11/20/2018,1721
11/21/2018,2558
11/25/2018,8326
11/26/2018,3913
11/27/2018,5724
11/28/2018,6678
11/29/2018,6318
11/30/2018,4839
12/1/2018,1174
12/2/2018,3944
12/3/2018,4999
12/4/2018,4530
12/5/2018,6170
12/6/2018,5020
12/7/2018,4085
12/8/2018,3688
12/9/2018,2013
12/10/2018,8089
12/11/2018,4548
12/12/2018,4403
12/13/2018,6215
12/14/2018,5726
12/15/2018,3205
12/16/2018,1392
12/17/2018,6277
12/18/2018,4970
12/19/2018,4495
12/20/2018,8904
12/21/2018,6803
12/22/2018,4831
12/23/2018,3337
12/24/2018,3779
12/25/2018,4727
12/26/2018,1582
12/27/2018,1575
12/28/2018,2075
12/29/2018,1499
12/30/2018,1845
12/31/2018,5876
1/1/2019,5964
1/2/2019,2716
1/3/2019,2540
1/4/2019,3856
1/5/2019,5959
1/6/2019,2048
1/7/2019,6151
1/8/2019,6029
1/9/2019,7018
1/10/2019,6473
1/11/2019,5555
1/12/2019,3526
1/13/2019,4086
1/14/2019,5364
1/15/2019,5248
1/16/2019,6516
1/17/2019,7422
1/18/2019,5759
1/19/2019,1378
1/20/2019,2413
1/21/2019,11663
1/22/2019,7786
1/23/2019,5531
1/24/2019,5815
1/25/2019,4639
1/26/2019,4399
1/27/2019,5912
1/28/2019,6764
1/29/2019,4728
1/30/2019,6051
1/31/2019,4884
2/1/2019,12019
2/2/2019,4114
2/3/2019,1702
2/4/2019,5594
2/5/2019,4308
2/6/2019,395
2/7/2019,2218
2/8/2019,5912
2/9/2019,2186
2/10/2019,1342
2/11/2019,2696
2/12/2019,7027
2/13/2019,7960
2/14/2019,2669
2/15/2019,3759
2/16/2019,2373
2/17/2019,2154
2/18/2019,5830
2/19/2019,5011
2/20/2019,5214
2/21/2019,7260
2/22/2019,5416
2/23/2019,972
2/24/2019,4017
2/25/2019,5557
2/26/2019,6832
2/27/2019,3070
2/28/2019,6842
3/1/2019,5463
3/2/2019,2609
3/3/2019,1875
3/4/2019,6639
3/5/2019,5450
3/6/2019,6637
3/7/2019,7590
3/8/2019,3066
3/9/2019,1847
3/10/2019,4802
3/11/2019,8402
3/12/2019,5829
3/13/2019,6971
3/14/2019,2831
3/15/2019,4792
3/16/2019,3647
3/17/2019,3490
3/18/2019,2252
3/19/2019,1143
3/20/2019,2026
3/21/2019,5419
3/22/2019,8253
3/23/2019,3718
3/24/2019,2207
3/25/2019,10775
3/26/2019,5589
3/27/2019,4856
3/28/2019,6670
3/29/2019,6658
3/30/2019,3151
3/31/2019,1907
4/1/2019,6969
4/2/2019,2963
4/3/2019,5138
4/4/2019,5060
4/5/2019,5630
4/6/2019,6464
4/7/2019,1122
4/8/2019,5919
4/9/2019,5622
4/10/2019,6414
4/11/2019,1079
4/12/2019,8192
4/13/2019,4022
4/14/2019,2506
4/15/2019,6455
4/16/2019,5315
4/17/2019,6351
4/18/2019,5919
4/19/2019,5785
4/20/2019,5060
4/21/2019,3862
4/22/2019,2899
4/23/2019,6330
4/24/2019,6191
4/25/2019,5152
4/26/2019,10927
4/27/2019,2078
4/28/2019,2764
4/29/2019,4918
4/30/2019,5554
5/1/2019,6106
5/2/2019,5148
5/3/2019,4872
5/4/2019,6594
5/5/2019,3674
5/6/2019,4797
5/7/2019,4680
5/8/2019,4875
5/9/2019,8793
5/10/2019,8799
5/11/2019,9256
5/12/2019,4778
5/13/2019,8442
5/14/2019,7019
5/15/2019,7868
5/16/2019,7278
5/17/2019,10025
5/18/2019,11080
5/19/2019,6437
5/20/2019,3633
5/21/2019,2280
5/22/2019,7389
5/23/2019,8473
5/24/2019,8150
5/25/2019,8552
5/26/2019,7019
5/27/2019,1779
5/28/2019,7151
5/29/2019,6162
5/30/2019,9313
5/31/2019,11168
6/1/2019,8022
6/2/2019,9202
6/3/2019,9536
6/4/2019,8479
6/5/2019,6206
6/6/2019,6980
6/7/2019,3712
6/8/2019,9098
6/9/2019,3827
6/10/2019,8520
6/11/2019,10463
6/12/2019,7206
6/13/2019,9244
6/14/2019,9450
6/15/2019,4327
6/16/2019,2513
6/17/2019,6831
6/18/2019,8349
6/19/2019,6786
6/20/2019,6031
6/21/2019,8853
6/22/2019,5369
6/23/2019,5068
6/24/2019,4938
6/25/2019,13228
6/26/2019,12390
6/27/2019,10963
6/28/2019,8319
6/29/2019,17587
6/30/2019,1580
7/1/2019,7359
7/2/2019,6907
7/3/2019,10466
7/4/2019,8466
7/5/2019,1971
7/6/2019,10615
7/7/2019,5870
7/8/2019,8901
7/9/2019,7556
7/10/2019,8826
7/11/2019,3861
7/12/2019,7770
7/13/2019,9557
7/14/2019,6625
7/15/2019,8467
7/16/2019,10162
7/17/2019,14621
7/18/2019,12405
7/19/2019,18346
7/20/2019,12624
7/21/2019,2223
7/22/2019,7226
7/23/2019,1201
7/24/2019,14796
7/25/2019,9142
7/26/2019,9934
7/27/2019,6480
7/28/2019,2244
7/29/2019,2773
7/30/2019,7177
7/31/2019,1018
8/1/2019,9528
8/2/2019,7405
8/3/2019,8088
8/4/2019,8140
8/5/2019,3972
8/6/2019,8358
8/7/2019,8308
8/8/2019,8761
8/9/2019,7098
8/10/2019,6142
8/11/2019,8463
8/12/2019,8361
8/13/2019,8167
8/14/2019,6242
8/15/2019,11942
8/16/2019,7790
8/17/2019,7079
8/18/2019,8976
8/19/2019,5175
8/20/2019,5125
8/21/2019,15359
8/22/2019,13219
8/23/2019,14200
8/24/2019,14492
8/25/2019,15642
8/26/2019,11707
8/27/2019,13951
8/28/2019,9866
8/29/2019,6318
8/30/2019,8095
8/31/2019,12453
9/1/2019,5020
9/2/2019,9075
9/3/2019,9594
9/4/2019,11008
9/5/2019,7021
9/6/2019,20505
9/7/2019,8716
9/8/2019,6692
9/9/2019,10437
9/10/2019,12867
9/11/2019,8281
9/12/2019,6895
9/13/2019,10048
9/14/2019,13359
9/15/2019,3526
9/16/2019,9391
9/17/2019,4707
9/18/2019,6096
9/19/2019,4661
9/20/2019,6973
9/21/2019,5472
9/22/2019,3372
9/23/2019,10454
9/24/2019,14792
9/25/2019,21816
9/26/2019,6065
9/27/2019,7349
9/28/2019,7934
9/29/2019,10239
9/30/2019,7354
10/1/2019,10112
10/2/2019,8426
10/3/2019,7143
10/4/2019,7904
10/5/2019,5138
10/6/2019,6327
10/7/2019,6461
10/8/2019,15140
10/9/2019,9712
10/10/2019,7721
10/11/2019,8064
10/12/2019,25231
10/13/2019,8487
10/14/2019,9385
10/15/2019,6829
10/16/2019,7549
10/17/2019,7250
10/18/2019,9190
10/19/2019,8015
10/20/2019,3074
10/21/2019,6220
10/22/2019,3860
10/23/2019,6973
10/24/2019,6314
10/25/2019,7980
10/26/2019,5600
10/27/2019,3773
10/28/2019,6458
10/29/2019,11176
10/30/2019,11707
10/31/2019,12044
11/1/2019,5972
11/2/2019,6281
11/3/2019,8948
11/4/2019,8685
11/5/2019,4701
11/6/2019,8544
11/7/2019,6693
11/8/2019,14517
11/9/2019,4955
11/10/2019,3312
11/11/2019,6715
11/12/2019,8587
11/13/2019,9132
11/14/2019,6748
11/15/2019,5512
11/16/2019,7598
11/17/2019,7939
11/18/2019,6650
11/19/2019,6371
11/20/2019,11449
11/21/2019,6239
11/22/2019,10734
11/23/2019,6179
11/24/2019,5189
11/25/2019,7820
11/26/2019,12890
11/27/2019,2810
11/28/2019,2449
11/29/2019,1831
11/30/2019,6845
12/1/2019,6626
12/2/2019,5176
12/3/2019,5397
12/4/2019,12028
12/5/2019,6974
12/6/2019,7197
12/7/2019,5524
12/8/2019,4222
12/9/2019,7191
12/10/2019,9680
12/11/2019,9424
12/12/2019,5513
12/13/2019,4184
12/14/2019,4062
12/15/2019,5876
12/16/2019,7429
12/17/2019,3260
12/18/2019,5618
12/19/2019,8236
12/20/2019,3846
12/21/2019,3427
12/22/2019,4057
12/23/2019,3692
12/24/2019,3561
12/25/2019,2880
12/26/2019,1732
12/27/2019,2238
12/28/2019,1805
12/29/2019,3003
12/30/2019,10423
12/31/2019,13015
1/1/2020,4868
1/2/2020,9979
1/3/2020,9107
1/4/2020,2485
1/5/2020,3799
1/6/2020,2040
1/7/2020,4027
1/8/2020,4139
1/9/2020,1889
1/10/2020,3418
1/11/2020,2200
1/12/2020,7322
1/13/2020,7232
1/14/2020,7288
1/15/2020,8110
1/16/2020,6452
1/17/2020,4064
1/18/2020,2623
1/19/2020,7112
1/20/2020,2508
1/21/2020,5857
1/22/2020,8328
1/23/2020,6196
1/24/2020,6719
1/25/2020,5290
1/26/2020,5080
1/27/2020,6089
1/28/2020,6155
1/29/2020,7693
1/30/2020,7128
1/31/2020,5920
2/1/2020,6215
2/2/2020,4503
2/3/2020,6242
2/4/2020,9447
2/5/2020,6328
2/6/2020,6260
2/7/2020,10021
2/8/2020,8505
2/9/2020,4556
2/10/2020,4492
2/11/2020,4239
2/12/2020,6951
2/13/2020,5677
2/14/2020,3462
2/15/2020,2696
2/16/2020,531
2/17/2020,6093
2/18/2020,4555
2/19/2020,4140
2/20/2020,6870
2/21/2020,5716
2/22/2020,4485
2/23/2020,12592
2/24/2020,7229
2/25/2020,8086
2/26/2020,9006
2/27/2020,8286
2/28/2020,8814
2/29/2020,7845
3/1/2020,6439
3/2/2020,6180
3/3/2020,6487
3/4/2020,5095
3/5/2020,10537
3/6/2020,4617
3/7/2020,2347
3/8/2020,3128
3/9/2020,2996
3/10/2020,3759
3/11/2020,6062
3/12/2020,7287
3/13/2020,4289
3/14/2020,595
3/15/2020,4371
3/16/2020,1693
3/17/2020,5291
3/18/2020,4478
3/19/2020,3233
3/20/2020,3909
3/21/2020,2492
3/22/2020,3090
3/23/2020,1584
3/24/2020,1985
3/25/2020,8907
3/26/2020,7263
3/27/2020,9245
3/28/2020,7954
3/29/2020,7372
3/30/2020,2314
3/31/2020,3128
4/1/2020,7933
4/2/2020,7588
4/3/2020,7439
4/4/2020,6258
4/5/2020,4760
4/6/2020,6690
4/7/2020,6406
4/8/2020,1573
4/9/2020,1764
4/10/2020,8322
4/11/2020,8028
4/12/2020,5016
4/13/2020,757
4/14/2020,5776
4/15/2020,6119
4/16/2020,686
4/17/2020,6471
4/18/2020,7559
4/19/2020,6191
4/20/2020,313
4/21/2020,4478
4/22/2020,6756
4/23/2020,5137
4/24/2020,5680
4/25/2020,6414
4/26/2020,1418
4/27/2020,5450
4/28/2020,5118
4/29/2020,1143
4/30/2020,5787
5/1/2020,6710
5/2/2020,7817
5/3/2020,719
5/4/2020,1561
5/5/2020,3563
5/6/2020,1977
5/7/2020,1815
5/8/2020,6432
5/9/2020,1525
5/10/2020,1384
5/11/2020,2514
5/12/2020,5679
5/13/2020,8236
5/14/2020,718
5/15/2020,8510
5/16/2020,8175
5/17/2020,9543
5/18/2020,4865
5/19/2020,7332
