day,dailySteps
2019-11-21,6239
2019-11-22,10734
2019-11-23,6179
2019-11-25,7820
2019-11-26,12890
2019-11-30,6845
2019-12-01,6626
2019-12-04,12028
2019-12-05,6974
2019-12-06,7197
2019-12-07,5524
2019-12-09,7191
2019-12-10,9680
2019-12-11,9424
2019-12-12,5513
2019-12-15,5876
2019-12-16,7429
2019-12-18,5618
2019-12-19,8236
2019-12-30,10423
2019-12-31,13015
2020-01-02,9979
2020-01-03,9107
2020-01-12,7322
2020-01-13,7232
2020-01-14,7288
2020-01-15,8110
2020-01-16,6452
2020-01-19,7112
2020-01-21,5857
2020-01-22,8328
2020-01-23,6196
2020-01-24,6719
2020-01-27,6089
2020-01-28,6155
2020-01-29,7693
2020-01-30,7128
2020-01-31,5920
2020-02-01,6215
2020-02-03,6242
2020-02-04,9447
2020-02-05,6328
2020-02-06,6260
2020-02-07,10021
2020-02-08,8505
2020-02-12,6951
2020-02-13,5677
2020-02-17,6093
2020-02-20,6870
2020-02-21,5716
2020-02-23,12592
2020-02-24,7229
2020-02-25,8086
2020-02-26,9006
2020-02-27,8286
2020-02-28,8814
2020-02-29,7845
2020-03-01,6439
2020-03-02,6180
2020-03-03,6487
2020-03-05,10537
2020-03-11,6062
2020-03-12,7287
2020-03-25,8907
2020-03-26,7263
2020-03-27,9245
2020-03-28,7954
2020-03-29,7372
2020-04-01,7933
2020-04-02,7588
2020-04-03,7439
2020-04-04,6258
2020-04-06,6690
2020-04-07,6406
2020-04-10,8322
2020-04-11,8028
2020-04-14,5776
2020-04-15,6119
2020-04-17,6471
2020-04-18,7559
2020-04-19,6191
2020-04-22,6756
2020-04-24,5680
2020-04-25,6414
2020-04-30,5787
2020-05-01,6710
2020-05-02,7817
2020-05-08,6432
2020-05-12,5679
2020-05-13,8236
2020-05-15,8510
2020-05-16,8175
2020-05-17,9543
2020-05-19,7332
2020-05-20,6463
2020-05-21,8287
2020-05-22,9192
2020-05-23,7773
2020-05-24,9260
2020-05-25,7438
2020-05-26,8884
2020-05-27,8972
2020-05-28,7609
2020-05-29,8554
2020-06-02,7052
2020-06-05,7146
2020-06-06,7410
2020-06-07,6206
2020-06-08,6340
2020-06-13,7329
2020-06-14,6831
2020-06-16,7033
2020-06-18,7585
2020-06-20,9590
2020-06-22,5509
2020-06-23,12843
2020-06-24,6000
2020-06-25,10394
2020-06-26,10856
2020-06-28,8332
2020-06-29,9823
2020-06-30,10313
2020-07-02,12389
2020-07-03,5930
2020-07-04,10226
2020-07-05,8551
2020-07-07,11511
2020-07-08,6034
2020-07-09,5733
2020-07-10,7187
2020-07-11,7522
2020-07-12,8445
2020-07-14,10407
2020-07-16,10268
2020-07-17,7671
2020-07-18,10106
2020-07-19,8946
2020-07-20,5964
2020-07-21,10254
2020-07-22,12412
2020-07-23,14746
2020-07-24,6059
2020-07-25,8299
2020-07-26,13055
2020-07-28,12272
2020-07-29,8635
2020-07-30,9326
2020-08-04,11332
2020-08-05,5724
2020-08-06,10500
2020-08-07,6666
2020-08-08,9106
2020-08-09,8859
2020-08-11,16790
2020-08-12,6897
2020-08-13,17372
2020-08-15,12707
2020-08-16,15684
2020-08-17,8837
2020-08-20,8596
2020-08-21,9808
2020-08-22,11144
2020-08-23,11478
2020-08-24,7179
2020-08-25,13605
2020-08-26,11582
2020-08-28,7948
2020-08-29,8958
2020-08-30,13675
2020-08-31,6296
2020-09-01,10881
2020-09-05,13332
2020-09-06,9973
2020-09-12,10783
2020-09-13,11735
2020-09-14,6506
2020-09-15,13975
2020-09-17,6251
2020-09-18,6805
2020-09-19,8373
2020-09-22,15688
2020-09-27,11006
2020-09-28,7356
2020-09-29,10638
2020-10-03,19457
2020-10-04,8950
2020-10-05,13053
2020-10-15,5597
2020-10-17,9297
2020-10-18,11621
2020-10-19,6075
2020-10-20,11824
2020-10-23,5584
2020-10-24,15080
2020-10-25,12322
2020-11-07,10922
2020-11-08,12799
2020-11-10,7888
2020-11-11,7614
2020-11-13,5529
2020-11-14,8979
2020-11-15,11124
2020-11-17,11002
2020-11-18,6085
2020-11-19,6011
2020-11-20,8813
2020-11-21,10194
2020-11-22,9192
2020-11-23,8384
2020-11-27,11322
2020-11-28,9889
2020-12-05,6391
2020-12-06,6259
2020-12-12,10547
2020-12-13,8749
2020-12-14,13656
2020-12-16,10499
2020-12-17,11013
2020-12-19,9500
2020-12-20,9359
2020-12-22,8539
2020-12-26,6028
2020-12-27,7040
2020-12-28,9040
2020-12-29,6905
2020-12-30,9021
2021-01-01,5583
2021-01-02,5617
2021-01-03,13309
2021-01-06,6040
2021-01-09,6317
2021-01-11,7007
2021-01-28,5883
2021-01-31,5621
2021-02-19,5722
2021-02-20,11900
2021-04-14,5783
2021-04-21,6148
2021-04-26,6623
2021-05-05,7365
2021-05-06,9058
2021-05-07,10062
2021-05-08,12803
2021-05-09,6551
2021-05-10,7379
2021-05-11,8668
2021-05-14,12116
2021-05-15,11914
2021-05-16,7845
2021-05-17,9510
2021-05-18,10550
2021-05-20,7612
2021-05-21,10353
2021-05-22,12061
2021-05-23,10095
2021-05-24,9336
2021-05-25,7683
2021-05-27,8797
2021-05-28,10178
2021-05-29,11292
2021-05-30,11090
2021-05-31,11461
2021-06-01,13749
2021-06-05,8729
2021-06-06,13268
2021-06-08,7392
2021-06-09,13647
2021-06-10,10459
2021-06-12,8953
2021-06-13,9347
2021-06-15,6180
2021-06-17,12155
2021-06-18,9701
2021-06-19,9007
2021-06-20,9681
2021-06-21,6746
2021-06-22,13498
2021-06-23,7288
2021-06-25,11201
2021-06-26,9539
2021-06-27,6317
2021-06-28,12610
2021-06-29,16150
2021-07-01,5926
2021-07-02,10196
2021-07-03,9553
2021-07-04,8917
2021-07-05,9511
2021-07-15,8784
2021-07-16,6357
2021-07-18,9392
2021-07-19,10866
2021-07-20,10781
2021-07-22,12735
2021-07-23,8522
2021-07-24,6622
2021-07-25,7442
2021-07-27,12813
2021-07-30,12987
2021-07-31,10913
2021-08-01,9704
2021-08-02,8134
2021-08-03,12650
2021-08-06,11227
2021-08-07,13975
2021-08-08,8624
2021-08-09,12271
2021-08-10,11175
2021-08-11,14436
2021-08-12,11663
2021-08-13,14906
2021-08-15,12684
2021-08-17,7741
2021-08-18,18066
2021-08-19,11579
2021-08-20,11058
2021-08-21,16118
2021-08-25,9295
2021-08-28,9034
2021-08-29,9478
2021-08-31,5703
2021-09-01,13842
2021-09-02,7018
2021-09-04,8201
2021-09-05,8844
2021-09-07,6413
2021-09-08,10619
2021-09-11,11608
2021-09-12,9582
2021-09-13,5656
2021-09-15,11073
2021-09-17,8729
2021-09-18,12898
2021-09-19,11310
2021-09-21,7254
2021-09-22,8788
2021-09-23,8069
2021-09-24,6020
2021-09-25,9242
2021-09-26,9648
2021-09-29,11604
2021-09-30,7537
2021-10-02,6554
2021-10-04,6202
2021-10-05,8168
2021-10-06,10347
2021-10-07,7532
2021-10-09,11719
2021-10-10,8899
2021-10-13,9512
2021-10-14,7299
2021-10-16,12480
2021-10-17,7794
2021-10-18,7810
2021-10-20,7036
2021-10-23,13071
2021-10-24,12955
2021-10-27,7859
2021-11-03,7314
2021-11-06,13444
2021-11-07,10373
2021-11-10,11163
2021-11-15,6624
2021-11-17,9634
2021-11-18,7478
2021-11-20,7435
2021-11-21,8181
2021-11-27,12320
2021-11-28,10892
2021-11-29,11768
2021-12-01,9892
2021-12-04,12502
2021-12-05,12065
2021-12-08,11171
2021-12-09,6848
2021-12-11,15289
2021-12-15,9830
2021-12-18,11123
2021-12-19,13922
2021-12-20,6082
2021-12-28,9562
2021-12-29,7818
2021-12-30,8563
2022-01-02,14191
2022-01-04,8449
2022-01-05,9530
2022-01-08,12907
2022-01-09,13287
2022-01-28,7729
2022-01-29,8979
2022-01-30,6935
2022-02-16,6744
2022-02-23,7132
2022-02-25,7634
2022-02-26,6200
2022-03-08,6906
2022-03-26,7407
2022-04-01,7857
2022-04-02,7811
2022-04-03,6363
2022-04-08,6186
2022-04-09,6493
2022-04-14,6000
2022-04-17,9579
2022-04-23,6630
2022-05-06,15061
2022-05-20,8020
2022-05-27,6329
2022-06-01,12834
2022-06-02,6322
2022-06-08,14041
2022-06-11,11702
2022-06-12,6674
2022-06-13,8203
2022-06-15,10834
2022-06-16,7466
2022-06-17,8044
2022-06-18,6012
2022-06-22,10310
2022-06-24,6479
2022-06-25,7808
2022-06-28,7346
2022-06-29,12207
2022-07-01,7865
2022-07-06,11975
2022-07-08,8594
2022-07-09,5633
2022-07-10,6004
2022-07-12,6426
2022-07-13,10488
2022-07-16,12917
2022-07-18,6930
2022-07-19,5731
2022-07-20,11669
2022-07-21,6444
2022-07-23,5958
2022-07-25,12208
2022-07-27,9850
2022-07-28,5607
2022-07-29,10108
2022-07-30,8257
2022-08-03,12410
2022-08-10,12760
2022-08-13,6317
2022-08-15,5842
2022-08-17,8379
2022-08-18,5628
2022-08-20,5764
2022-08-21,8192
2022-08-22,7344
2022-08-24,7652
2022-08-26,6260
2022-08-27,7038
2022-08-28,7432
2022-08-29,6396
2022-08-31,8148
2022-09-01,5788
2022-09-02,6854
2022-09-05,6042
2022-09-09,8844
2022-09-10,8422
2022-09-12,6544
2022-09-14,12001
2022-09-19,7592
2022-09-21,7752
2022-09-23,7095
2022-09-26,5613
2022-09-27,6226
2022-09-28,5913
2022-09-30,6847
2022-10-03,6156
2022-10-05,5604
2022-10-07,7838
2022-10-09,6373
2022-10-10,8844
2022-10-11,16277
2022-10-12,11813
2022-10-13,8630
2022-10-14,6442
2022-10-20,10757
2022-10-22,8765
2022-10-27,7233
2022-10-28,10076
2022-10-31,5685
2022-11-03,7436
2022-11-05,8335
2022-11-09,8190
2022-11-11,5850
2022-11-25,6710
2022-11-26,7672
2022-11-27,6129
2022-11-28,6888
2022-11-30,7006
2022-12-02,7594
2022-12-05,7507
2022-12-06,5762
2022-12-07,6028
2022-12-08,5793
2022-12-12,8848
2022-12-15,6927
2022-12-16,5603
2022-12-19,6514
2022-12-28,6713
2023-01-01,5848
2023-01-04,6093
2023-01-05,6022
2023-01-09,9385
2023-01-10,5902
2023-01-11,5805
2023-01-12,8331
